kakaoId,name,rawText
"1229072760","돼지꿈꾸다","영업정보
접기
영업 중01:30 까지
월(7/27)
16:00 ~ 01:30
00:50 라스트오더
화(7/28)
16:00 ~ 01:30
00:50 라스트오더
수(7/29)
16:00 ~ 01:30
00:50 라스트오더
목(7/30)
16:00 ~ 01:30
00:50 라스트오더
금(7/31)
16:00 ~ 01:30
00:50 라스트오더
토(8/1)
16:00 ~ 01:30
00:50 라스트오더
일(8/2)
휴무일"
"8025577","옥천면옥 본점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
수(7/29)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
목(7/30)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
금(7/31)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
토(8/1)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
일(8/2)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
월(8/3)
11:00 ~ 21:30
15:30 ~ 17:00 브레이크타임
영업정보 전체보기"
"969560632","옹고집보쌈","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
수(7/29)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
목(7/30)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
금(7/31)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
토(8/1)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
일(8/2)
11:30 ~ 21:00
14:00 ~ 17:30 브레이크타임
20:30 라스트오더
월(8/3)
휴무일"
"589043835","채우담 본점","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더
수(7/29)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더
목(7/30)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더
금(7/31)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더
토(8/1)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더
일(8/2)
휴무일
월(8/3)
11:30 ~ 21:00
15:30 ~ 17:00 브레이크타임
20:20 라스트오더"
"27432627","노릇노릇식당","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 20:00
15:00 ~ 17:00 브레이크타임
19:30 라스트오더
수(7/29)
11:30 ~ 20:00
15:00 ~ 17:00 브레이크타임
19:30 라스트오더
목(7/30)
11:30 ~ 20:00
15:00 ~ 17:00 브레이크타임
19:30 라스트오더
금(7/31)
11:30 ~ 20:00
15:00 ~ 17:00 브레이크타임
19:30 라스트오더
토(8/1)
11:30 ~ 15:00
14:30 라스트오더
일(8/2)
휴무일
월(8/3)
11:30 ~ 20:00
15:00 ~ 17:00 브레이크타임
19:30 라스트오더"
"1434986865","뚱땅찌개&갈비찜 본점","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
수(7/29)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
목(7/30)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
금(7/31)
휴무일
토(8/1)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
일(8/2)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임
월(8/3)
11:00 ~ 21:00
15:00 ~ 17:00 브레이크타임"
"26895435","쭉심","영업정보
접기
영업 전12:00 오픈
화(7/28)
12:00 ~ 24:00
수(7/29)
12:00 ~ 24:00
목(7/30)
12:00 ~ 24:00
금(7/31)
12:00 ~ 24:00
토(8/1)
12:00 ~ 24:00
일(8/2)
12:00 ~ 24:00
월(8/3)
12:00 ~ 24:00"
"10554581","수진식당","영업정보
접기
영업 전11:00 오픈
화(7/28)
11:00 ~ 14:30
수(7/29)
11:00 ~ 14:30
목(7/30)
11:00 ~ 14:30
금(7/31)
11:00 ~ 14:30
토(8/1)
11:00 ~ 14:30
일(8/2)
11:00 ~ 14:30
월(8/3)
11:00 ~ 14:30"
"1005848579","해수니보쌈","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더
수(7/29)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더
목(7/30)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더
금(7/31)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더
토(8/1)
휴무일
일(8/2)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더
월(8/3)
11:30 ~ 21:30
14:00 ~ 17:00 브레이크타임
20:00 라스트오더"
"10833692","청죽골한우식육식당","영업정보
접기
영업 전11:30 오픈
화(7/28)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
수(7/29)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
목(7/30)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
금(7/31)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
토(8/1)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
일(8/2)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임
월(8/3)
11:30 ~ 21:30
14:30 ~ 16:30 브레이크타임"
